Id	Question	OptionA	OptionB	OptionC	OptionD	CorrectOption
1	—	Waar	—	—	—	A
2	—	Waar	Niet waar	—	—	B
3	—	Beroepsdilemma	Ethisch dilemma	Sociaal dilemma	—	B
4	—	Beroepsethiek	Morele plicht	Beroepscode	—	A
5	—	Beroepsethiek	Protocollen	Huisreglement	—	C
6	—	De analyse	De besluitvorming	De consequentie	—	C
7	—	Waar	Niet waar	—	—	A
8	—	Waar	Niet waar	—	—	B
9	—	Je moet kiezen uit twee of meer keuzes.	Het onderwerp gaat over waarden en normen.	Er is altijd een juiste keuze te maken.	—	C
10	—	Waarden die zijn vastgelegd in protocollen en regelingen.	Waarden die niet zijn vastgelegd in protocollen en regelingen.	Algemene regels die iedereen vanzelfsprekend vindt.	—	A
